	gene_human	entrez_id_human	gene_mouse	MGI	MP_HMD	MP_PhenoGeno	HP_genes_to_phenotype	MP_system_level	HP_system_level	MP_from_HP_system_level
22193	SMARCC1	6599	Smarcc1	MGI:1203524		MP:0000787,MP:0001694,MP:0000783,MP:0002718,MP:0000786,MP:0000830,MP:0000914,MP:0002085,MP:0011096,MP:0013207,MP:0000823,MP:0004838,MP:0000826	HP:0010953,HP:0002410,HP:0003829,HP:0000006,HP:0003577	['MP:0003631', 'MP:0005380']	['HP:0000707']	[['MP:0003631']]
22194	SMARCC2	6601	Smarcc2	MGI:1915344		MP:0011088,MP:0004738,MP:0009430,MP:0002169,MP:0010506,MP:0011100,MP:0011085,MP:0002590,MP:0005333,MP:0002082,MP:0020870	HP:0009928,HP:0010864,HP:0009879,HP:0001274,HP:0001250,HP:0001250,HP:0001252,HP:0001249,HP:0001263,HP:0000085,HP:0001382,HP:0000047,HP:0000023,HP:0000028,HP:0000028,HP:0008897,HP:0033725,HP:0001344,HP:0001344,HP:0000006,HP:0001305,HP:0002650,HP:0002650,HP:0000179,HP:0000179,HP:0000154,HP:0008947,HP:0000119,HP:0002788,HP:0002750,HP:0002719,HP:0002033,HP:0002059,HP:0011937,HP:0003593,HP:0100716,HP:0002209,HP:0002209,HP:0100790,HP:0011968,HP:0011968,HP:0011951,HP:0008398,HP:0002360,HP:0002342,HP:0001007,HP:0000684,HP:0001999,HP:0000752,HP:0000752,HP:0000750,HP:0000718,HP:0000718,HP:0000729,HP:0000708,HP:0003196,HP:0012810,HP:0009237,HP:0000998,HP:0000998,HP:0000964,HP:0000280,HP:0000294,HP:0000289,HP:0030084,HP:0000252,HP:0002884,HP:0000219,HP:0000219,HP:0002895,HP:0001508,HP:0001511,HP:0001510,HP:0000365,HP:0001643,HP:0001629,HP:0001627,HP:0001636,HP:0001631,HP:0005280,HP:0000486,HP:0001792,HP:0000463,HP:0000463,HP:0000455,HP:0000527,HP:0000508,HP:0000508,HP:0000505,HP:0011231,HP:0000574,HP:0000574,HP:0012523,HP:0000545	['MP:0005377', 'MP:0005386', 'MP:0005397', 'MP:0005385', 'MP:0005378', 'MP:0005380']	['HP:0000234', 'HP:0011968', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0000078', 'HP:0040064', 'HP:0100568', 'HP:0004298', 'HP:0001626', 'HP:0002664', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0002086', 'HP:0000478', 'HP:0001392', 'HP:0000818', 'HP:0001574']	[['MP:0005382'], ['MP:0005386'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005389'], ['MP:0005371'], ['MP:0002006'], ['MP:0005378'], ['MP:0005385'], ['MP:0002006'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005388'], ['MP:0005391'], ['MP:0005370'], ['MP:0005379'], ['MP:0010771']]
22195	SMARCD1	6602	Smarcd1	MGI:1933623			HP:0009928,HP:0009909,HP:0010864,HP:0009879,HP:0001274,HP:0001274,HP:0001250,HP:0001252,HP:0001249,HP:0001263,HP:0000085,HP:0001382,HP:0000047,HP:0000028,HP:0008897,HP:0008872,HP:0001344,HP:0000006,HP:0001305,HP:0002650,HP:0000185,HP:0000179,HP:0000193,HP:0000154,HP:0000154,HP:0008947,HP:0000119,HP:0002788,HP:0002750,HP:0002719,HP:0002714,HP:0002032,HP:0002007,HP:0011937,HP:0002162,HP:0002209,HP:0100790,HP:0011968,HP:0011951,HP:0008398,HP:0002342,HP:0001007,HP:0200055,HP:0000684,HP:0001999,HP:0031936,HP:0000752,HP:0000750,HP:0000718,HP:0000729,HP:0000708,HP:0003196,HP:0012810,HP:0009237,HP:0000998,HP:0000280,HP:0000294,HP:0000289,HP:0030084,HP:0000252,HP:0002884,HP:0000219,HP:0000218,HP:0002895,HP:0001511,HP:0001510,HP:0000365,HP:0000341,HP:0000316,HP:0001643,HP:0001629,HP:0001627,HP:0001636,HP:0001631,HP:0005280,HP:0005280,HP:0000486,HP:0001792,HP:0000463,HP:0000455,HP:0000414,HP:0005487,HP:0000508,HP:0000505,HP:0011231,HP:0000574,HP:0012523,HP:0000545	['']	['HP:0000234', 'HP:0011968', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0000078', 'HP:0000464', 'HP:0040064', 'HP:0100568', 'HP:0001626', 'HP:0002664', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0002086', 'HP:0000478', 'HP:0001392', 'HP:0000818', 'HP:0001574']	[['MP:0005382'], ['MP:0005386'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005389'], ['MP:0005378'], ['MP:0005371'], ['MP:0002006'], ['MP:0005385'], ['MP:0002006'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005388'], ['MP:0005391'], ['MP:0005370'], ['MP:0005379'], ['MP:0010771']]
22196	SMARCD2	6603	Smarcd2	MGI:1933621		MP:0001785,MP:0011400,MP:0009142,MP:0011110,MP:0002590	HP:0001156,HP:0020206,HP:0100806,HP:0001263,HP:0033606,HP:0003819,HP:0000007,HP:0032434,HP:0032435,HP:0002718,HP:0002041,HP:0002164,HP:0003577,HP:0001007,HP:0001903,HP:0000698,HP:0000692,HP:0000705,HP:0000974,HP:0000956,HP:0000938,HP:0001522,HP:0002863,HP:0001508,HP:0000377,HP:0006532,HP:0000358,HP:0000369,HP:0000403,HP:0001852,HP:0001808,HP:0012551,HP:0001873,HP:0001875	['MP:0003631', 'MP:0005376', 'MP:0005397']	['HP:0000234', 'HP:0002014', 'HP:0000598', 'HP:0001507', 'HP:0004377', 'HP:0000707', 'HP:0002715', 'HP:0000924', 'HP:0001194', 'HP:3000050', 'HP:0002086', 'HP:0040064', 'HP:0001574', 'HP:0002664', 'HP:0001871']	[['MP:0005382'], ['MP:0005381'], ['MP:0005377'], ['MP:0005378'], ['MP:0002006'], ['MP:0003631'], ['MP:0005387'], ['MP:0005390'], ['MP:0005380'], ['MP:0005382'], ['MP:0005388'], ['MP:0005371'], ['MP:0010771'], ['MP:0002006'], ['MP:0005397']]
22197	SMARCD3	6604	Smarcd3	MGI:1914243		MP:0010402,MP:0002098,MP:0000297,MP:0011098,MP:0000281,MP:0000267,MP:0000282,MP:0030567,MP:0004084,MP:0011100,MP:0004937,MP:0011925,MP:0031633,MP:0004094,MP:0001914,MP:0004091,MP:0002080,MP:0000280,MP:0004057,MP:0011395,MP:0002189,MP:0004090,MP:0001284,MP:0010053,MP:0011099		['MP:0005369', 'MP:0005384', 'MP:0010771', 'MP:0005386', 'MP:0005385']	['']	[['']]
22198	SMARCE1	6605	Smarce1	MGI:1927347		MP:0001402,MP:0011091,MP:0014259,MP:0005562,MP:0002591,MP:0011100,MP:0011104,MP:0014134	HP:0001166,HP:0009928,HP:0009928,HP:0010864,HP:0009882,HP:0009879,HP:0001274,HP:0001269,HP:0001279,HP:0001250,HP:0001250,HP:0001250,HP:0001251,HP:0001249,HP:0001263,HP:0001262,HP:0010997,HP:0007359,HP:0007340,HP:0002516,HP:0002512,HP:0003829,HP:0000085,HP:0000044,HP:0001382,HP:0000047,HP:0000020,HP:0000028,HP:0008897,HP:0001342,HP:0001344,HP:0001344,HP:0000006,HP:0000006,HP:0001305,HP:0001305,HP:0002650,HP:0001321,HP:0001317,HP:0000179,HP:0000179,HP:0000141,HP:0000154,HP:0000154,HP:0008947,HP:0000119,HP:0002788,HP:0002750,HP:0002719,HP:0002719,HP:0002017,HP:0100543,HP:0002079,HP:0011752,HP:0011750,HP:0011730,HP:0008163,HP:0003484,HP:0003418,HP:0011937,HP:0002167,HP:0008240,HP:0008245,HP:0008237,HP:0010534,HP:0008214,HP:0008202,HP:0003581,HP:0002209,HP:0002209,HP:0100790,HP:0011968,HP:0011968,HP:0010628,HP:0011951,HP:0008398,HP:0001067,HP:0002342,HP:0001007,HP:0002355,HP:0002354,HP:0002315,HP:0100648,HP:0100661,HP:0010828,HP:0001085,HP:0030521,HP:0006824,HP:0030532,HP:0000618,HP:0000602,HP:0012691,HP:0000684,HP:0012658,HP:0001999,HP:0004322,HP:0004302,HP:0000802,HP:0100010,HP:0100009,HP:0000752,HP:0000718,HP:0000712,HP:0000729,HP:0000708,HP:0030591,HP:0011442,HP:0030766,HP:0004408,HP:0003196,HP:0000870,HP:0012810,HP:0009237,HP:0030878,HP:0045026,HP:0000998,HP:0040171,HP:0008069,HP:0007715,HP:0012285,HP:0000280,HP:0000280,HP:0000294,HP:0000294,HP:0000289,HP:0012246,HP:0030084,HP:0000238,HP:0000252,HP:0000252,HP:0002884,HP:0000219,HP:0000219,HP:0002895,HP:0002858,HP:0001511,HP:0001511,HP:0001510,HP:0001513,HP:0006520,HP:0002920,HP:0000365,HP:0000360,HP:0001643,HP:0000322,HP:0001629,HP:0001627,HP:0001636,HP:0001631,HP:0001631,HP:0007924,HP:0005280,HP:0005280,HP:0000486,HP:0011133,HP:0001792,HP:0000463,HP:0000455,HP:0000445,HP:0012505,HP:0000527,HP:0001852,HP:0000520,HP:0000508,HP:0000508,HP:0000505,HP:0001800,HP:0001810,HP:0030344,HP:0030341,HP:0011231,HP:0000574,HP:0000574,HP:0012523,HP:0000545	['MP:0005386', 'MP:0005397', 'MP:0005380']	['HP:0000234', 'HP:0045027', 'HP:0011968', 'HP:0000079', 'HP:0001507', 'HP:0003117', 'HP:0000020', 'HP:0003011', 'HP:0002715', 'HP:0000078', 'HP:0040064', 'HP:0002017', 'HP:0100568', 'HP:0025354', 'HP:0012531', 'HP:0001626', 'HP:0002664', 'HP:0001871', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0002086', 'HP:0000478', 'HP:0001392', 'HP:0000818', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005378'], ['MP:0005386'], ['MP:0005367'], ['MP:0005378'], ['MP:0005376'], ['MP:0005367'], ['MP:0005369'], ['MP:0005387'], ['MP:0005389'], ['MP:0005371'], ['MP:0005381'], ['MP:0002006'], ['MP:0005384'], ['MP:0005386'], ['MP:0005385'], ['MP:0002006'], ['MP:0005397'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005388'], ['MP:0005391'], ['MP:0005370'], ['MP:0005379'], ['MP:0010771'], ['MP:0005376']]
22199	SMBD1P	111674481	Smbd1	MGI:2685779				['']	['']	[['']]
22200	SMC1A	8243	Smc1a	MGI:1344345		MP:0008404,MP:0004045,MP:0004227,MP:0004028,MP:0000313	HP:0001182,HP:0001156,HP:0002465,HP:0002465,HP:0002451,HP:0007328,HP:0007301,HP:0009932,HP:0009914,HP:0007281,HP:0010880,HP:0010864,HP:0003763,HP:0025269,HP:0001290,HP:0001276,HP:0001276,HP:0001274,HP:0001288,HP:0001285,HP:0001254,HP:0001256,HP:0001250,HP:0001250,HP:0001250,HP:0001250,HP:0001250,HP:0002580,HP:0001252,HP:0001252,HP:0001249,HP:0001249,HP:0001249,HP:0001249,HP:0001263,HP:0001263,HP:0001257,HP:0001257,HP:0002557,HP:0002566,HP:0008736,HP:0007360,HP:0007359,HP:0002540,HP:0002540,HP:0002553,HP:0002553,HP:0002553,HP:0002521,HP:0002507,HP:0002505,HP:0003808,HP:0000083,HP:0025387,HP:0000059,HP:0000076,HP:0001371,HP:0001385,HP:0001385,HP:0001387,HP:0000047,HP:0000028,HP:0008897,HP:0008872,HP:0008850,HP:0031165,HP:0001332,HP:0001328,HP:0001344,HP:0001344,HP:0000003,HP:0001337,HP:0002650,HP:0002650,HP:0002650,HP:0001319,HP:0012171,HP:0000193,HP:0012165,HP:0000161,HP:0000175,HP:0000175,HP:0000175,HP:0007687,HP:0007665,HP:0006315,HP:0006315,HP:0008947,HP:0008936,HP:0007598,HP:0000119,HP:0002793,HP:0002793,HP:0000130,HP:0033850,HP:0001423,HP:0001423,HP:0002750,HP:0001419,HP:0002714,HP:0002714,HP:0002714,HP:0032588,HP:0002021,HP:0002020,HP:0002020,HP:0002020,HP:0002020,HP:0002019,HP:0002033,HP:0002015,HP:0002013,HP:0040327,HP:0005968,HP:0011800,HP:0100543,HP:0002069,HP:0002066,HP:0002079,HP:0011787,HP:0009471,HP:0002123,HP:0002120,HP:0002119,HP:0002119,HP:0009623,HP:0009623,HP:0002186,HP:0002194,HP:0002167,HP:0002162,HP:0002270,HP:0003577,HP:0100703,HP:0100704,HP:0002230,HP:0010711,HP:0033349,HP:0010654,HP:0007018,HP:0007018,HP:0011968,HP:0011968,HP:0011951,HP:0002363,HP:0002360,HP:0002360,HP:0002376,HP:0002371,HP:0001007,HP:0001007,HP:0002353,HP:0002353,HP:0009830,HP:0200055,HP:0200055,HP:0200055,HP:0200055,HP:0010773,HP:0002300,HP:0004209,HP:0031860,HP:0000639,HP:0001956,HP:0000601,HP:0000601,HP:0009062,HP:0010055,HP:0010034,HP:0011344,HP:0011344,HP:0000684,HP:0000678,HP:0000687,HP:0000687,HP:0000667,HP:0000664,HP:0000664,HP:0000664,HP:0004322,HP:0004322,HP:0004322,HP:0006979,HP:0004302,HP:0004305,HP:0030680,HP:0003042,HP:0031936,HP:0100022,HP:0000767,HP:0000737,HP:0000739,HP:0000739,HP:0000733,HP:0000750,HP:0012718,HP:0012719,HP:0000748,HP:0000741,HP:0000716,HP:0000717,HP:0000713,HP:0000729,HP:0000729,HP:0000723,HP:0000722,HP:0000708,HP:0011471,HP:0011442,HP:0000776,HP:0000776,HP:0012760,HP:0000786,HP:0003196,HP:0003196,HP:0000924,HP:0000873,HP:0000871,HP:0012806,HP:0000818,HP:0000817,HP:0000817,HP:0000824,HP:0000823,HP:0040064,HP:0040071,HP:0045084,HP:0010300,HP:0000965,HP:0000965,HP:0045005,HP:0012285,HP:0000278,HP:0000294,HP:0000294,HP:0000294,HP:0000256,HP:0002827,HP:0002827,HP:0030084,HP:0030084,HP:0002808,HP:0000238,HP:0000252,HP:0000252,HP:0000252,HP:0000252,HP:0000248,HP:0000248,HP:0002882,HP:0000219,HP:0000219,HP:0000218,HP:0000218,HP:0000218,HP:0002876,HP:0000233,HP:0001557,HP:0002871,HP:0001508,HP:0001508,HP:0001511,HP:0001511,HP:0001511,HP:0001510,HP:0001510,HP:0001510,HP:0007824,HP:0032807,HP:0012385,HP:0000396,HP:0006528,HP:0000358,HP:0000368,HP:0000341,HP:0000341,HP:0000343,HP:0012332,HP:0002996,HP:0000347,HP:0000347,HP:0002983,HP:0000319,HP:0000319,HP:0000311,HP:0002974,HP:0000322,HP:0000325,HP:0000324,HP:0001629,HP:0001629,HP:0001627,HP:0001622,HP:0001639,HP:0001631,HP:0001631,HP:0000498,HP:0000407,HP:0000407,HP:0000405,HP:0000400,HP:0005280,HP:0030215,HP:0000486,HP:0000482,HP:0012469,HP:0012469,HP:0000478,HP:0000494,HP:0000494,HP:0000490,HP:0000463,HP:0000463,HP:0000463,HP:0000460,HP:0000457,HP:0000470,HP:0000470,HP:0001770,HP:0001773,HP:0001773,HP:0001773,HP:0001773,HP:0000453,HP:0000453,HP:0000413,HP:0000426,HP:0005484,HP:0000518,HP:0000527,HP:0000527,HP:0000508,HP:0000508,HP:0000501,HP:0000582,HP:0000574,HP:0000574,HP:0001883,HP:0001883,HP:0000545	['MP:0005384']	['HP:0000234', 'HP:0011968', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0010880', 'HP:0000078', 'HP:0040064', 'HP:0002017', 'HP:0000464', 'HP:0000769', 'HP:0001626', 'HP:0033850', 'HP:0001371', 'HP:0002019', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0001557', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0001622', 'HP:0000818', 'HP:0001574', 'HP:0000775', 'HP:0001939']	[['MP:0005382'], ['MP:0005386'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005380'], ['MP:0005389'], ['MP:0005371'], ['MP:0005381'], ['MP:0005378'], ['MP:0010771'], ['MP:0005385'], ['MP:0005376'], ['MP:0005390'], ['MP:0005381'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0005389'], ['MP:0005379'], ['MP:0010771'], ['MP:0005369'], ['MP:0005376']]
22201	SMC1B	27127	Smc1b	MGI:2154049		MP:0001924,MP:0005159,MP:0005168,MP:0008261,MP:0008280,MP:0001925,MP:0002169,MP:0001155,MP:0002682,MP:0004852,MP:0001926,MP:0005169		['MP:0005379', 'MP:0005384', 'MP:0005389']	['']	[['']]
22202	SMC2	10592	Smc2	MGI:106067		MP:0011092		[]	['']	[['']]
22203	SMC3	9126	Smc3	MGI:1339795		MP:0020508,MP:0001262,MP:0002075,MP:0011092,MP:0020512,MP:0010124,MP:0020337,MP:0011100,MP:0020510,MP:0020514,MP:0001399,MP:0011086,MP:0005015,MP:0004998,MP:0003961,MP:0001363,MP:0020551,MP:0005562,MP:0000428,MP:0010025	HP:0001156,HP:0002465,HP:0010880,HP:0010864,HP:0001276,HP:0001250,HP:0001250,HP:0002580,HP:0001252,HP:0001249,HP:0001249,HP:0001263,HP:0002557,HP:0002566,HP:0008736,HP:0100874,HP:0007360,HP:0002553,HP:0002553,HP:0000083,HP:0000059,HP:0000076,HP:0000072,HP:0001385,HP:0001387,HP:0000047,HP:0001357,HP:0000028,HP:0000028,HP:0008872,HP:0008872,HP:0008850,HP:0000003,HP:0000006,HP:0012165,HP:0000175,HP:0000175,HP:0001476,HP:0007665,HP:0007598,HP:0000130,HP:0002750,HP:0002714,HP:0002714,HP:0002021,HP:0002020,HP:0002020,HP:0002007,HP:0100543,HP:0002120,HP:0002119,HP:0009623,HP:0009623,HP:0002167,HP:0002162,HP:0002230,HP:0007018,HP:0001052,HP:0002360,HP:0001007,HP:0009830,HP:0200055,HP:0200055,HP:0004209,HP:0004209,HP:0000639,HP:0001956,HP:0010034,HP:0000684,HP:0000691,HP:0000687,HP:0000667,HP:0000664,HP:0000664,HP:0004322,HP:0004322,HP:0030680,HP:0003042,HP:0000767,HP:0000739,HP:0000717,HP:0000722,HP:0011451,HP:0000776,HP:0000786,HP:0003196,HP:0000823,HP:0040071,HP:0009237,HP:0030820,HP:0010300,HP:0000954,HP:0000965,HP:0000965,HP:0000294,HP:0000294,HP:0002827,HP:0000252,HP:0000248,HP:0000248,HP:0000219,HP:0000218,HP:0000218,HP:0000233,HP:0000233,HP:0001557,HP:0001508,HP:0001511,HP:0012368,HP:0000365,HP:0000358,HP:0000368,HP:0000343,HP:0000343,HP:0002996,HP:0000347,HP:0000347,HP:0002983,HP:0000319,HP:0001647,HP:0001643,HP:0001642,HP:0002974,HP:0000324,HP:0001629,HP:0001629,HP:0001622,HP:0001631,HP:0001631,HP:0000498,HP:0000407,HP:0000405,HP:0000400,HP:0005280,HP:0005280,HP:0000486,HP:0000482,HP:0000463,HP:0000463,HP:0000470,HP:0000470,HP:0001770,HP:0001770,HP:0001773,HP:0001773,HP:0000453,HP:0000414,HP:0000413,HP:0000426,HP:0005484,HP:0000518,HP:0000527,HP:0000527,HP:0000508,HP:0000508,HP:0000501,HP:0000579,HP:0011230,HP:0000574,HP:0000574,HP:0001883,HP:0000545,HP:0000545	['MP:0005387', 'MP:0010771', 'MP:0005386', 'MP:0005390', 'MP:0005378', 'MP:0005375', 'MP:0003631', 'MP:0005382', 'MP:0005397']	['HP:0000234', 'HP:0011968', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0010880', 'HP:0000078', 'HP:0040064', 'HP:0000464', 'HP:0001626', 'HP:0000769', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0001557', 'HP:0000708', 'HP:0000478', 'HP:0001622', 'HP:0000818', 'HP:0001574', 'HP:0000775']	[['MP:0005382'], ['MP:0005386'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005380'], ['MP:0005389'], ['MP:0005371'], ['MP:0005378'], ['MP:0005385'], ['MP:0010771'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005386'], ['MP:0005391'], ['MP:0005389'], ['MP:0005379'], ['MP:0010771'], ['MP:0005369']]
22204	SMC4	10051	Smc4	MGI:1917349				['']	['']	[['']]
22205	SMC5	23137	Smc5	MGI:2385088		MP:0000745,MP:0000219,MP:0000186,MP:0005560,MP:0005011,MP:0005179,MP:0003179,MP:0000208,MP:0011100,MP:0002875,MP:0005344,MP:0005016	HP:0001298,HP:0001270,HP:0001250,HP:0001348,HP:0000007,HP:0001310,HP:0000179,HP:0002714,HP:0002020,HP:0002007,HP:0002094,HP:0007018,HP:0001903,HP:0000699,HP:0012745,HP:0000771,HP:0000739,HP:0030752,HP:0000842,HP:0000954,HP:0034349,HP:0000960,HP:0000286,HP:0000276,HP:0030084,HP:0002808,HP:0000252,HP:0000218,HP:0002925,HP:0000369,HP:0000347,HP:0001643,HP:0001642,HP:0000325,HP:0007902,HP:0007968,HP:0001763,HP:0000448,HP:0000414,HP:0000411,HP:0000519,HP:0000568,HP:0001873	['MP:0005376', 'MP:0005387', 'MP:0005386', 'MP:0005397']	['HP:0000234', 'HP:0000598', 'HP:0003117', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0001626', 'HP:0000708', 'HP:0002086', 'HP:0040064', 'HP:0000478', 'HP:0000818', 'HP:0001574', 'HP:0000769', 'HP:0001939', 'HP:0001871']	[['MP:0005382'], ['MP:0005377'], ['MP:0005376'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005385'], ['MP:0005386'], ['MP:0005388'], ['MP:0005371'], ['MP:0005391'], ['MP:0005379'], ['MP:0010771'], ['MP:0010771'], ['MP:0005376'], ['MP:0005397']]
22206	SMC6	79677	Smc6	MGI:1914491		MP:0000186,MP:0001516,MP:0001262,MP:0011098,MP:0005505,MP:0006086,MP:0000194,MP:0008497,MP:0003984,MP:0000218,MP:0011100,MP:0004200,MP:0001265,MP:0000248,MP:0003961,MP:0010024,MP:0002965,MP:0001698,MP:0001973,MP:0005559,MP:0001935,MP:0011110,MP:0010025		['MP:0005387', 'MP:0005386', 'MP:0005389', 'MP:0005378', 'MP:0005375', 'MP:0005380', 'MP:0005376', 'MP:0005397']	['']	[['']]
22207	SMCHD1	23347	Smchd1	MGI:1921605		MP:0000470,MP:0004256,MP:0011101,MP:0011100,MP:0005033,MP:0008877,MP:0009142,MP:0005031,MP:0011110,MP:0000157,MP:0003787,MP:0011108	HP:0009927,HP:0009932,HP:0003749,HP:0001249,HP:0008736,HP:0010984,HP:0000059,HP:0000044,HP:0000054,HP:0000047,HP:0000023,HP:0000023,HP:0000028,HP:0000028,HP:0000006,HP:0000193,HP:0000176,HP:0000175,HP:0000175,HP:0000135,HP:0006352,HP:0410030,HP:0008970,HP:0040326,HP:0003307,HP:0011800,HP:0100540,HP:0100596,HP:0003457,HP:0003581,HP:0010628,HP:0003691,HP:0000646,HP:0000618,HP:0000612,HP:0009023,HP:0009027,HP:0000692,HP:0000689,HP:0000685,HP:0000664,HP:0030664,HP:0030680,HP:0000771,HP:0000786,HP:0004409,HP:0003236,HP:0003241,HP:0003202,HP:0008046,HP:0000298,HP:0000218,HP:0000377,HP:0000365,HP:0000316,HP:0000309,HP:0000499,HP:0000407,HP:0000405,HP:0000458,HP:0000458,HP:0000453,HP:0000413,HP:0011268,HP:0006784,HP:0000518,HP:0000518,HP:0000528,HP:0000589,HP:0000572,HP:0000568,HP:0000568,HP:0000564	['MP:0005390', 'MP:0003631', 'MP:0005381', 'MP:0005384', 'MP:0005389', 'MP:0005380']	['HP:0000234', 'HP:0000079', 'HP:0003011', 'HP:0000078', 'HP:0040064', 'HP:0004298', 'HP:0000769', 'HP:0001626', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0000924', 'HP:0000478', 'HP:0002086', 'HP:0000818', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005367'], ['MP:0005369'], ['MP:0005389'], ['MP:0005371'], ['MP:0005378'], ['MP:0010771'], ['MP:0005385'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005390'], ['MP:0005391'], ['MP:0005388'], ['MP:0005379'], ['MP:0010771'], ['MP:0005376']]
22208	SMCO1	255798	Smco1	MGI:1916826				['']	['']	[['']]
22209	SMCO2	341346	Smco2	MGI:1916621		MP:0002169		[]	['']	[['']]
22210	SMCO3	440087	Smco3	MGI:2443451				['']	['']	[['']]
22211	SMCO4	56935	Smco4	MGI:3039636				['']	['']	[['']]
22212	SMCP	4184	Smcp	MGI:96945		MP:0002675,MP:0000242,MP:0001925,MP:0004542,MP:0030976		['MP:0005384', 'MP:0005389']	['']	[['']]
22213	SMCR8	140775	Smcr8	MGI:2444720		MP:0008260,MP:0008647,MP:0000691,MP:0008074,MP:0008469,MP:0005058,MP:0008705,MP:0008078,MP:0008560,MP:0003172,MP:0008537,MP:0000702		['MP:0005376', 'MP:0005381', 'MP:0005387', 'MP:0005384', 'MP:0005397', 'MP:0005378']	['']	[['']]
22214	SMDT1	91689	Smdt1	MGI:1916279		MP:0001402,MP:0000745,MP:0011100,MP:0002169,MP:0001262,MP:0011110,MP:0006036,MP:0001491,MP:0020414,MP:0010025		['MP:0005384', 'MP:0005386', 'MP:0005378', 'MP:0005375']	['']	[['']]
22215	SMG1	23049	Smg1	MGI:1919742		MP:0001730,MP:0000599,MP:0005621,MP:0008596,MP:0004251,MP:0013504,MP:0000116,MP:0011098,MP:0014237,MP:0000352,MP:0030241,MP:0005344,MP:0000267,MP:0002135,MP:0001260,MP:0001889,MP:0009782,MP:0002100,MP:0002023,MP:0002628,MP:0008642,MP:0011100,MP:0002499,MP:0001257,MP:0011095,MP:0001634,MP:0010208,MP:0002925,MP:0000691,MP:0002020,MP:0012431,MP:0004188,MP:0001264,MP:0002027,MP:0001698,MP:0011108,MP:0001286,MP:0005031,MP:0011099		['MP:0005388', 'MP:0005387', 'MP:0005397', 'MP:0005390', 'MP:0005378', 'MP:0005391', 'MP:0005380', 'MP:0005382', 'MP:0003631', 'MP:0005376', 'MP:0002006', 'MP:0005384', 'MP:0005370', 'MP:0005385', 'MP:0005367']	['']	[['']]
22216	SMG5	23381	Smg5	MGI:2447364		MP:0011092,MP:0001914,MP:0011100,MP:0013294,MP:0013292,MP:0003054		['MP:0003631', 'MP:0005385', 'MP:0005380']	['']	[['']]
22217	SMG6	23293	Smg6	MGI:2144117		MP:0011091,MP:0011103,MP:0000689,MP:0000691,MP:0002169,MP:0001486,MP:0008762,MP:0011100,MP:0001192,MP:0002060,MP:0012113,MP:0003984,MP:0013292		['MP:0005387', 'MP:0010771', 'MP:0005386', 'MP:0005378', 'MP:0005380', 'MP:0005384', 'MP:0005397']	['']	[['']]
22218	SMG7	9887	Smg7	MGI:2682334				['']	['']	[['']]
