	gene_human	entrez_id_human	gene_mouse	MGI	MPO_lower	HPO_lower	clusters_m	clusters_h	n_clusters_m	n_clusters_h
14081	SQSTM1	8878	Sqstm1	MGI:107931	MP:0003203,MP:0001260,MP:0001559,MP:0009124,MP:0008844,MP:0005293,MP:0031253,MP:0009972,MP:0003797,MP:0010875,MP:0005290,MP:0011635,MP:0002896,MP:0010955,MP:0013631,MP:0001732,MP:0004982,MP:0001541,MP:0020011,MP:0008947,MP:0011014,MP:0005560,MP:0004924,MP:0020411,MP:0005562,MP:0003674,MP:0002998,MP:0011699,MP:0005331,MP:0011939,MP:0002083,MP:0008271,MP:0010957,MP:0010868,MP:0001402,MP:0000607,MP:0005669,MP:0003795,MP:0004984,MP:0005565,MP:0001261,MP:0003633,MP:0000745,MP:0004890,MP:0005006,MP:0008706,MP:0004985,MP:0001513,MP:0001242,MP:0003960,MP:0001257,MP:0002968,MP:0003212,MP:0000880,MP:0009975,MP:0008396,MP:0006036,MP:0010179,MP:0010784,MP:0002941,MP:0002628,MP:0010024,MP:0005553,MP:0010956,MP:0003786,MP:0003325,MP:0000599,MP:0005178,MP:0000130,MP:0005343,MP:0004546,MP:0009118,MP:0000189,MP:0005405,MP:0011636	HP:0011204,HP:0001272,HP:0003438,HP:0025425,HP:0002500,HP:0003236,HP:0000712,HP:0003805,HP:0001257,HP:0002385,HP:0002371,HP:0002493,HP:0006892,HP:0000511,HP:0002465,HP:0000738,HP:0001268,HP:0012658,HP:0000716,HP:0100660,HP:0012378,HP:0001265,HP:0003458,HP:0010628,HP:0000710,HP:0001638,HP:0004326,HP:0003557,HP:0100543,HP:0002381,HP:0000719,HP:0002669,HP:0008180,HP:0000757,HP:0002878,HP:0002314,HP:0000508,HP:0003394,HP:0007373,HP:0008954,HP:0002127,HP:0002380,HP:0002171,HP:0033683,HP:0001337,HP:0002366,HP:0000733,HP:0008322,HP:0008619,HP:0000751,HP:0030196,HP:0007149,HP:0001288,HP:0002355,HP:0001300,HP:0009027,HP:0000657,HP:0002017,HP:0002073,HP:0002075,HP:0001347,HP:0008959,HP:0002180,HP:0002066,HP:0002145,HP:0002186,HP:0000723,HP:0001283,HP:0003487,HP:0002446,HP:0002797,HP:0012473,HP:0001324,HP:0001310,HP:0002120,HP:0002360,HP:0030213,HP:0002070,HP:0002094,HP:0002069,HP:0010522,HP:0000718,HP:0009067,HP:0001260,HP:0010529,HP:0002312,HP:0002354,HP:0003324,HP:0012671,HP:0002795,HP:0010549,HP:0000474,HP:0000711,HP:0009077,HP:0000365,HP:0002071,HP:0003691,HP:0000739,HP:0003202,HP:0000605,HP:0000639,HP:0000734,HP:0003155,HP:0030223,HP:0000708,HP:0012531,HP:0020203,HP:0001332,HP:0002283,HP:0031237,HP:0002300,HP:0002442,HP:0000741,HP:0007354,HP:0007190,HP:0002653,HP:0003084,HP:0030195,HP:0000737,HP:0002015,HP:0008955,HP:0002463,HP:0003198,HP:0000020,HP:0007340,HP:0030212,HP:0002273,HP:0000709,HP:0000815,HP:0003701,HP:0007256,HP:0002460,HP:0000713,HP:0030192,HP:0003700,HP:0003376,HP:0005686,HP:0000217,HP:0003484,HP:0010526,HP:0001251,HP:0003470	4961,6584,776,6891,2030,3334,544,1210,641,2183,532,2986,1604,3088,272,2686,2335,1771,488,6812,2404,5589,2437,5238,3936,2236,6931,5112,3419,1059,3221,4411,4947,4768,1024,2365,1901,1978,3184,3036,1383,2699,3283,2396,5581,1246,1401,2928,2155,3372,1658,3204,731,773,1210,2650,2538,5455,2550,940,5064,2062,1961,2770,1309,3516,1393,2234,1922,636,4688,2880,3386,1210,872	2596,118,2575,40,3253,1999,916,1163,2530,1092,3357,2481,588,547,718,1707,3831,73,2326,3329,2403,1357,1461,545,333,3559,3272,777,2605,2686,5420,1297,44,2596,4048,1641,136,3337,121,1601,3327,3131,1841,1947,3641,120,3423,925,2005,2596,1551,5398,3890,2560,2115,3,1279,2567,727,2039,4753,3171,1441,2096,121,3200,4752,1229,3348,19,4164,40,4890,920,4840,2752,333,1874,2802,2934,365,2327,1441,2855,2056,3177,73,3845,2762,516,120,3752,1909,1121,174,2018,1996,1258,452,374,3119,2416,4156,1044,3011,5062,2399,1265,1107,3127,3892,1153,2618,121,11,3316,3409,5531,1630,2499,40,11,2959,1788,3263,5507,1507,4988,2464,2777,750,3018,2182,904,2687,701,5230,986,2034,1120,3140,664	73	131
14082	SRA1	10011	Sra1	MGI:1344414	MP:0031268,MP:0008844,MP:0001120,MP:0006319,MP:0002989,MP:0008259,MP:0002891,MP:0010360,MP:0005659,MP:0009142,MP:0003402,MP:0000438,MP:0003795,MP:0002727,MP:0010124,MP:0005292,MP:0009356,MP:0001780,MP:0009133,MP:0000598,MP:0009136,MP:0010025,MP:0008554	HP:0004408,HP:0002215,HP:0000786,HP:0000054,HP:0008734,HP:0002225,HP:0000044,HP:0000771,HP:0000028,HP:0000789	1040,2030,1346,1711,6,2707,3254,2807,1835,1169,4531,1843,1978,3452,1924,949,893,42,4211,1856,6025,2276,6624	1091,2611,3974,3397,3684,4109,1021,2714,1396,716	23	10
14083	SRARP	149563	Srarp	MGI:2685540						
14084	SRBD1	55133	Srbd1	MGI:1925836	MP:0001523,MP:0011100,MP:0013292,MP:0002075,MP:0001513,MP:0001415,MP:0010052		3357,3158,1756,4223,2928,3052,3840		7	
14085	SRC	6714	Src	MGI:98397	MP:0005425,MP:0001405,MP:0000333,MP:0000435,MP:0002397,MP:0011495,MP:0010867,MP:0001577,MP:0000221,MP:0010299,MP:0008414,MP:0011086,MP:0002109,MP:0000067,MP:0002359,MP:0008101,MP:0001951,MP:0001732,MP:0020395,MP:0005193,MP:0004924,MP:0011085,MP:0000559,MP:0020396,MP:0000065,MP:0031391,MP:0000135,MP:0000121,MP:0002083,MP:0002066,MP:0004686,MP:0002116,MP:0003795,MP:0001262,MP:0003447,MP:0001265,MP:0001382,MP:0000125,MP:0002100,MP:0000352,MP:0001488,MP:0030420,MP:0004214,MP:0000119,MP:0004993,MP:0001823,MP:0002804,MP:0002797,MP:0010053,MP:0010872,MP:0001529,MP:0030132,MP:0001846,MP:0006398,MP:0002722,MP:0011090,MP:0002063,MP:0001923,MP:0003461,MP:0009456,MP:0003845,MP:0001360,MP:0006400,MP:0001926,MP:0011088,MP:0006042,MP:0003419,MP:0030069,MP:0003723,MP:0000130,MP:0008826,MP:0000689,MP:0002113,MP:0000371,MP:0001290	HP:0006740,HP:0006716,HP:0004406,HP:0011974,HP:0005584,HP:0000601,HP:0031020,HP:0000490,HP:0002003,HP:0006753,HP:0001892,HP:0000939,HP:0001873,HP:0002891	2254,5542,1419,1142,1863,968,6734,793,1291,1070,2122,203,1504,4017,209,7065,1597,2686,2307,518,2437,3190,362,5554,848,2973,1888,4071,3221,1733,3500,2436,1978,828,129,3130,285,6852,5421,1968,3449,4083,4037,4021,2536,792,2692,883,1768,1159,806,533,1692,1139,2058,5114,3932,522,2309,1607,2492,2681,700,1495,843,1831,986,2503,2176,1922,333,1499,2408,2110,5870	87,87,858,155,653,3562,2017,3286,3871,87,2325,1876,3247,653	75	11
14086	SRCAP	10847	Srcap	MGI:2444036	MP:0003179,MP:0012128,MP:0011092,MP:0002073	HP:0000722,HP:0003879,HP:0001249,HP:0000826,HP:0001631,HP:0011098,HP:0001007,HP:0000276,HP:0005301,HP:0000430,HP:0000405,HP:0001537,HP:0001636,HP:0000490,HP:0000431,HP:0000894,HP:0045025,HP:0000426,HP:0000470,HP:0040288,HP:0005743,HP:0002751,HP:0000343,HP:0012871,HP:0000729,HP:0001047,HP:0000113,HP:0009778,HP:0001510,HP:0001611,HP:0031936,HP:0000286,HP:0000446,HP:0000121,HP:0000126,HP:0000914,HP:0000593,HP:0000807,HP:0005487,HP:0007018,HP:0001385,HP:0001620,HP:0000278,HP:0000540,HP:0000232,HP:0000691,HP:0000303,HP:0002714,HP:0000455,HP:0001256,HP:0001156,HP:0012538,HP:0002136,HP:0003774,HP:0002020,HP:0000252,HP:0000414,HP:0000629,HP:0001344,HP:0000411,HP:0030424,HP:0011300,HP:0100710,HP:0004322,HP:0011599,HP:0003037,HP:0000219,HP:0000545,HP:0000736,HP:0010049,HP:0000047,HP:0009577,HP:0002608,HP:0000718,HP:0001260,HP:0000023,HP:0025160,HP:0000448,HP:0001252,HP:0011220,HP:0000677,HP:0000358,HP:0030084,HP:0004220,HP:0002019,HP:0000711,HP:0000527,HP:0010252,HP:0000739,HP:0008554,HP:0000486,HP:0000322,HP:0003083,HP:0001518,HP:0002342,HP:0000708,HP:0002750,HP:0000878,HP:0000256,HP:0010946,HP:0000104,HP:0000154,HP:0000325,HP:0000028,HP:0000327,HP:0000107,HP:0011304,HP:0004209,HP:0003189,HP:0000750,HP:0001382,HP:0004554,HP:0000709,HP:0000369,HP:0009765,HP:0010230,HP:0010034,HP:0000403,HP:0002474,HP:0001680,HP:0002162,HP:0001250,HP:0006335,HP:0010047,HP:0010957,HP:0000670	1073,3482,884,1167	3154,4003,544,86,2498,827,2266,1736,2886,770,4908,5532,3211,3286,1806,2733,2234,2589,4730,1983,2284,5344,1293,5146,163,2984,642,3688,636,1634,2606,3206,514,1437,2897,2856,369,5023,2694,2268,3330,766,1747,1759,3904,1772,2594,4266,1062,264,3866,4266,1477,407,4589,847,3190,771,4554,2191,1764,3118,3134,76,4003,4307,1783,2691,42,2271,5526,4193,2192,2327,2855,2506,2703,3152,2755,1569,119,1903,1697,1448,2119,1909,1513,4668,1258,5509,1064,2535,2407,2548,2859,3011,3249,1354,3402,4747,1941,3637,4801,1396,1337,2261,2625,3515,402,1515,1948,3928,4988,5295,2862,3389,3692,1855,2120,5473,1864,3492,5196,2026,2259,3865	4	124
14087	SRCIN1	80725	Srcin1	MGI:1933179	MP:0002912,MP:0001458,MP:0001473,MP:0009936,MP:0010123,MP:0002804,MP:0002833,MP:0002206,MP:0001900,MP:0001475		190,2287,3413,6002,3515,2692,3222,3848,1312,1593		10	
14088	SRD5A1	6715	Srd5a1	MGI:98400	MP:0000664,MP:0002774,MP:0002907,MP:0001157,MP:0001935		6945,4975,2200,885,2836		5	
14089	SRD5A2	6716	Srd5a2	MGI:2150380	MP:0000664,MP:0002774,MP:0002907,MP:0000692,MP:0001157,MP:0000691,MP:0001935,MP:0000689,MP:0002060	HP:0000054,HP:0000046,HP:0001595,HP:0100779,HP:0001608,HP:0000062,HP:0008736,HP:0000051,HP:0000028,HP:0000033,HP:0000144,HP:0000048,HP:0001939,HP:0000818	6945,4975,2200,2010,885,5442,2836,1499,2028	3397,577,4387,3458,2458,3933,3085,3458,1396,1100,2882,200,1356,2053	9	13
14090	SRD5A3	79644	Srd5a3	MGI:1930252	MP:0003384,MP:0013293,MP:0003984,MP:0011098,MP:0001697,MP:0001700,MP:0011100,MP:0004937,MP:0004738,MP:0000929,MP:0004180,MP:0002861	HP:0012443,HP:0000821,HP:0000958,HP:0000248,HP:0000510,HP:0034391,HP:0000962,HP:0001320,HP:0001249,HP:0000824,HP:0002942,HP:0001935,HP:0001999,HP:0001272,HP:0003186,HP:0003642,HP:0005585,HP:0008064,HP:0000648,HP:0000982,HP:0001257,HP:0000572,HP:0010864,HP:0000316,HP:0001000,HP:0000973,HP:0000518,HP:0002015,HP:0001976,HP:0000964,HP:0000431,HP:0002126,HP:0000589,HP:0006380,HP:0000568,HP:0001263,HP:0000369,HP:0001508,HP:0001252,HP:0007766,HP:0000414,HP:0008947,HP:0000677,HP:0001317,HP:0000329,HP:0030680,HP:0000998,HP:0002910,HP:0001928,HP:0005280,HP:0005107,HP:0000365,HP:0001595,HP:0002334,HP:0001250,HP:0000612,HP:0004322,HP:0001251,HP:0000639,HP:0012471,HP:0001270,HP:0002808	1104,3033,1890,2117,1509,2060,3158,1696,5756,2607,579,2104	2663,2706,5521,2148,2628,1885,2505,3636,544,4037,5329,1610,818,118,744,3739,4058,51,2221,1647,2530,3859,4695,3838,2950,3418,16,2499,327,2468,1806,2779,2257,1435,2491,3622,5295,1900,2755,3897,3190,2607,119,1684,3180,2391,2597,1010,1273,2487,286,174,4387,487,3492,1851,76,3140,3119,1284,3251,659	12	62
14091	SREBF1	6720	Srebf1	MGI:107606	MP:0011108,MP:0002644,MP:0000187,MP:0002575,MP:0009356,MP:0010027,MP:0011109,MP:0011086,MP:0008770,MP:0005179	HP:0031417,HP:0500262,HP:0001181,HP:0002090,HP:0001249,HP:0000790,HP:0000407,HP:0001096,HP:0001880,HP:0007502,HP:0001097,HP:0033194,HP:0002208,HP:0012719,HP:0002249,HP:0000565,HP:0100031,HP:0008404,HP:0000613,HP:0034418,HP:0011496,HP:0032152,HP:0002028,HP:0008396,HP:0008070,HP:0031291,HP:0000221,HP:0002251,HP:0002014,HP:0002164,HP:0007759,HP:0200008,HP:0000491,HP:0009926,HP:0002728,HP:0100806,HP:0002017,HP:0025610,HP:0002019,HP:0001596,HP:0000365,HP:0001648,HP:0002027,HP:0004322,HP:0005214,HP:0000639,HP:0006552,HP:0000486,HP:0006532,HP:0000518,HP:0000618,HP:0030318,HP:0001531,HP:0001824	6509,1450,3525,5645,893,2331,1178,203,648,181	4506,2569,2099,3844,544,1982,2507,1104,2375,561,2913,2544,3991,1566,1200,987,3708,2569,949,1566,728,4280,2854,5226,910,561,5493,2969,3023,2555,2545,1643,1613,4212,3862,2425,2567,561,2119,4035,174,5241,3693,76,4417,3119,2544,1064,5455,16,2634,2894,3719,158	10	49
14092	SREBF2	6721	Srebf2	MGI:107585	MP:0002644,MP:0009356,MP:0002840,MP:0001191,MP:0001304,MP:0003983,MP:0011101,MP:0002118,MP:0010254,MP:0001262,MP:0011091,MP:0010026,MP:0010161,MP:0005179		1450,893,1909,235,1230,2088,5068,1953,829,828,376,1273,4928,181		14	
14093	SREK1	140890	Srek1	MGI:2145245	MP:0000198,MP:0011110		3200,3610		2	
14094	SREK1IP1	285672	Srek1ip1	MGI:1914538						
14095	SRF	6722	Srf	MGI:106658	MP:0001625,MP:0002279,MP:0009674,MP:0006107,MP:0011098,MP:0008079,MP:0003141,MP:0000281,MP:0005017,MP:0006267,MP:0011087,MP:0004819,MP:0002976,MP:0001695,MP:0004084,MP:0005294,MP:0005018,MP:0004978,MP:0001732,MP:0003222,MP:0001636,MP:0001634,MP:0001404,MP:0002795,MP:0011085,MP:0000292,MP:0010402,MP:0000715,MP:0004032,MP:0008075,MP:0002083,MP:0008022,MP:0000160,MP:0001953,MP:0001730,MP:0003984,MP:0002633,MP:0008183,MP:0001575,MP:0000295,MP:0003084,MP:0006138,MP:0001648,MP:0001698,MP:0004091,MP:0005329,MP:0008171,MP:0000460,MP:0010725,MP:0000277,MP:0001693,MP:0010579,MP:0005598,MP:0002652,MP:0000288,MP:0011092,MP:0001683,MP:0000705,MP:0005312,MP:0005314,MP:0002190,MP:0000278,MP:0005202		1559,2418,3839,4358,2117,2203,1378,2993,2213,2283,5425,2075,2462,5818,2533,811,2014,5081,2686,3143,1453,1301,2580,1338,3190,5997,320,1462,5656,1772,3221,91,3329,2132,882,1890,588,2833,6441,1317,1741,629,5024,852,2073,1328,5518,65,6938,3044,1435,4366,1630,1840,4611,884,2115,2769,2086,5416,953,94,1916		63	
14096	SRFBP1	153443	Srfbp1	MGI:1914472						
14097	SRGAP1	57522	Srgap1	MGI:2152936	MP:0011353,MP:0011856,MP:0008061,MP:0008140,MP:0005165,MP:0002871,MP:0005264,MP:0011402,MP:0011869,MP:0002705,MP:0011753,MP:0011427	HP:0006731,HP:0040198,HP:0002895	1434,2693,5339,1625,3445,286,3293,1657,1657,198,176,4145	2737,2641,2641	11	2
14098	SRGAP3	9901	Srgap3	MGI:2152938	MP:0004000,MP:0002063,MP:0008432,MP:0008026,MP:0008428,MP:0001891,MP:0001360,MP:0008911,MP:0011854,MP:0009936,MP:0002882,MP:0002780,MP:0011380,MP:0002083,MP:0002066,MP:0003461,MP:0009142,MP:0001402		2997,3932,6031,3751,3466,1921,2681,2425,3617,6002,1216,2876,1368,3221,1733,2309,1169,1024		18	
14099	SRGN	5552	Srgn	MGI:97756	MP:0000336,MP:0000359		6174,6613		2	
14100	SRI	6717	Sri	MGI:98419	MP:0002727,MP:0005293		3452,3334		2	
14101	SRL	6345	Srl	MGI:2146620	MP:0005140,MP:0004084,MP:0004088,MP:0005620,MP:0002106,MP:0001544,MP:0002841		1477,2533,1091,1212,1610,415,5080		7	
14102	SRM	6723	Srm	MGI:102690						
14103	SRMS	6725	Srms	MGI:101865						
14104	SRP14	6727	Srp14	MGI:107169						
14105	SRP19	6728	Srp19	MGI:1913634		HP:0000155,HP:0000704,HP:0001581,HP:0002090,HP:0025439,HP:0006480,HP:0001880,HP:0001875,HP:0004808,HP:0001915,HP:0006721,HP:0000938,HP:0001909,HP:0002863,HP:0410018,HP:0012384,HP:0002014,HP:0001028,HP:0025452,HP:0011107,HP:0004798,HP:0001945,HP:0012311,HP:0005425,HP:0003453,HP:0002718,HP:0004429,HP:0001888,HP:0002027,HP:0100658,HP:0000230		2260,2967,1171,3844,15,832,2375,2359,1780,2105,15,3016,855,5444,1866,733,3023,2476,2624,156,4731,217,1548,1501,1105,393,976,1792,3693,2069,532		30
14106	SRP68	6730	Srp68	MGI:1917447		HP:0012311,HP:0001903,HP:0033150,HP:0012136,HP:0033607,HP:0001875,HP:0001873		1548,4139,1548,5122,4385,2359,3247		6
14107	SRP72	6731	Srp72	MGI:1333795	MP:0011100,MP:0004924,MP:0001399,MP:0002574,MP:0020870,MP:0001402	HP:0001876,HP:0000407,HP:0002863,HP:0005528,HP:0001915	3158,2437,3358,1454,2362,1024	2787,2507,5444,3333,2105	6	5
14108	SRP9	6726	Srp9	MGI:1350930	MP:0013293,MP:0011100,MP:0013292,MP:0013278		3033,3158,1756,5561		4	
14109	SRPK1	6732	Srpk1	MGI:106908	MP:0008008,MP:0013294,MP:0000352		1199,783,1968		3	
14110	SRPK2	6733	Srpk2	MGI:1201408	MP:0001577,MP:0002083,MP:0002429,MP:0000218		793,3221,386,650		4	
14111	SRPK3	26576	Srpk3	MGI:1891338	MP:0004819,MP:0000759,MP:0002731,MP:0009404,MP:0000063,MP:0000220,MP:0010053,MP:0000494		2075,1654,1677,1357,3456,2267,1768,6656		8	
14112	SRPRA	6734	Srpra	MGI:1914648						
14113	SRPRB	58477	Srprb	MGI:102964	MP:0013293,MP:0005554,MP:0011100,MP:0002591,MP:0013292		3033,764,3158,2081,1756		5	
14114	SRPX	8406	Srpx	MGI:1858306	MP:0012431,MP:0002027,MP:0002024,MP:0000691,MP:0010264,MP:0002032,MP:0002020,MP:0002619		385,2278,769,5442,6771,1278,1414,403		8	
14115	SRPX2	27286	Srpx2	MGI:1916042	MP:0000198,MP:0004998,MP:0001529,MP:0020395	HP:0011196,HP:0012557,HP:0001249,HP:0001511,HP:0002061,HP:0012017,HP:0011098,HP:0010535,HP:0025425,HP:0012534,HP:0000712,HP:0003401,HP:0001257,HP:0002385,HP:0010300,HP:0001328,HP:0011968,HP:0000716,HP:0007359,HP:0001611,HP:0002510,HP:0000453,HP:0000347,HP:0007033,HP:0007018,HP:0001256,HP:0002269,HP:0001263,HP:0007301,HP:0000252,HP:0002020,HP:0008947,HP:0000767,HP:0001347,HP:0410011,HP:0012469,HP:0002307,HP:0001326,HP:0000736,HP:0002509,HP:0007334,HP:0031491,HP:0002076,HP:0001310,HP:0001349,HP:0030319,HP:0002835,HP:0001260,HP:0007024,HP:0032407,HP:0009088,HP:0007270,HP:0002373,HP:0020190,HP:0000365,HP:0000739,HP:0000639,HP:0002546,HP:0001371,HP:0002392,HP:0001320,HP:0011755,HP:0031434,HP:0007332,HP:0000750,HP:0005684,HP:0002015,HP:0002104,HP:0002463,HP:0011157,HP:0002079,HP:0012014,HP:0010808,HP:0001250,HP:0006889,HP:0011198,HP:0012015	3200,3481,806,2307	4924,1596,544,1913,3308,2695,827,2958,40,554,916,1742,2530,1092,2585,4184,2933,2326,2469,1634,4133,1840,2000,4701,2268,264,689,3622,5304,847,4589,2607,1099,4753,55,4807,945,731,42,784,2392,4888,2472,920,3341,3259,2867,2855,298,2306,1974,4420,3850,3308,174,1258,3119,3467,5033,3010,3636,2306,3504,3850,1515,4121,2499,980,11,3624,1529,2695,1868,3492,713,4937,4887	4	73
14116	SRR	63826	Srr	MGI:1351636	MP:0001473,MP:0008414,MP:0002463,MP:0008432,MP:0001304,MP:0008236,MP:0001399,MP:0002060,MP:0002910,MP:0030691,MP:0030692,MP:0002229,MP:0002092,MP:0002699,MP:0003633,MP:0001488,MP:0001146,MP:0001147,MP:0002574,MP:0002797,MP:0001360,MP:0008911,MP:0000274,MP:0000266,MP:0009142		3413,2122,3517,6031,1230,3963,3358,2028,2850,596,5744,1879,1508,2672,2699,3449,2470,2774,1454,883,2681,2425,3465,184,1169		25	
14117	SRRD	402055	Srrd	MGI:1917368						
14118	SRRM1	10250	Srrm1	MGI:1858303						
14119	SRRM2	23524	Srrm2	MGI:1923206	MP:0011100	HP:0001169,HP:0000219,HP:0000319,HP:0000256,HP:0009909,HP:0000490,HP:0000750,HP:0002414,HP:0007018,HP:0000540,HP:0001513,HP:0001256,HP:0000297,HP:0001263,HP:0000470,HP:0000369,HP:0000252,HP:0001252,HP:0000414,HP:0000089,HP:0002591,HP:0000358,HP:0011968,HP:0000049,HP:0000729,HP:0000054,HP:0000739,HP:0000098,HP:0100025,HP:0031936,HP:0011822,HP:0000486,HP:0000286	3158	970,1783,347,3402,3153,3286,1515,4598,2268,1759,2633,264,1041,3622,4730,5295,847,2755,3190,5309,1058,1903,2933,615,163,3397,1258,539,5525,2606,2707,1064,3206	1	33
14120	SRRM3	222183	Srrm3	MGI:1920309	MP:0001953,MP:0001405,MP:0000872,MP:0004811,MP:0001262,MP:0001265,MP:0004008,MP:0000745,MP:0001393,MP:0002083,MP:0000876,MP:0011087		2132,5542,2323,2612,828,3130,4699,3283,3307,3221,819,5425		12	
14121	SRRM4	84530	Srrm4	MGI:1916205	MP:0005307,MP:0008415,MP:0006335,MP:0002857,MP:0001954,MP:0004393,MP:0004589,MP:0000790,MP:0011087,MP:0012055,MP:0002184,MP:0004736,MP:0003424,MP:0004333,MP:0004334,MP:0006336,MP:0000780,MP:0005191,MP:0003825,MP:0004328,MP:0001485,MP:0000026,MP:0003651,MP:0001953,MP:0001394,MP:0004811,MP:0001575,MP:0011967,MP:0001967,MP:0000745,MP:0004249,MP:0004312,MP:0008770,MP:0008948,MP:0004518,MP:0011110,MP:0002961,MP:0004397,MP:0004396,MP:0004008,MP:0011088,MP:0002623,MP:0004981,MP:0004274,MP:0004398,MP:0001525		2566,3365,4383,357,5201,1060,6137,1311,5425,6518,2223,384,1966,1751,287,4687,3806,1573,845,5301,7128,610,4272,2132,353,2612,6441,715,898,3283,2372,19,648,4848,287,3610,1619,715,4311,4699,843,2582,2583,5650,287,3330		43	
14122	SRRT	51593	Srrt	MGI:1933527	MP:0003694,MP:0001730,MP:0000333,MP:0013504,MP:0011096,MP:0003763,MP:0009322		5524,882,1419,2773,1428,3494,5925		7	
14123	SRSF1	6426	Srsf1	MGI:98283	MP:0001625,MP:0002972,MP:0008106,MP:0001297,MP:0011096,MP:0001326,MP:0001330,MP:0006309,MP:0010235,MP:0002795,MP:0005241,MP:0005333,MP:0003141,MP:0000278,MP:0002083,MP:0030005,MP:0006068,MP:0001325		1559,1552,3883,1049,1428,2575,1268,5521,6642,1338,6748,1305,1378,94,3221,643,580,2823		18	
14124	SRSF10	10772	Srsf10	MGI:1333805	MP:0004201,MP:0010402,MP:0011109,MP:0004062,MP:0010403,MP:0002652,MP:0010413,MP:0003103,MP:0001785,MP:0002190,MP:0004215,MP:0011087,MP:0005329		3503,320,1178,5514,4946,1840,3022,3955,2389,953,1143,5425,1328		13	
14125	SRSF11	9295	Srsf11	MGI:1916457	MP:0003928,MP:0011100,MP:0005385,MP:0013292,MP:0009142		4653,3158,2635,1756,1169		5	
14126	SRSF12	135295	Srsf12	MGI:2661424						
14127	SRSF2	6427	Srsf2	MGI:98284	MP:0004809,MP:0010763,MP:0011096,MP:0001601,MP:0005017,MP:0008028,MP:0005018,MP:0008801,MP:0001603,MP:0002795,MP:0000715,MP:0005608,MP:0001545,MP:0001606,MP:0002811,MP:0002357,MP:0005092,MP:0004956,MP:0005090,MP:0002145,MP:0013776,MP:0005065,MP:0000245,MP:0005598,MP:0003077,MP:0006042,MP:0000706,MP:0013741	HP:0003326,HP:0002797,HP:0002018,HP:0001409,HP:0002716,HP:0031284,HP:0001880,HP:0001433,HP:0001279,HP:0000980,HP:0002829,HP:0012325,HP:0001875,HP:0002756,HP:0004808,HP:0100494,HP:0002086,HP:0001876,HP:0001903,HP:0031807,HP:0040186,HP:0011121,HP:0002653,HP:0002665,HP:0001909,HP:0002863,HP:0001541,HP:0004398,HP:0031901,HP:0000939,HP:0001873,HP:0001971,HP:0002615,HP:0001649,HP:0002014,HP:0000989,HP:0005550,HP:0001824,HP:0011897,HP:0001897,HP:0001744,HP:0001025,HP:0012324,HP:0002315,HP:0002240,HP:0001945,HP:0004377,HP:0012378,HP:0001895,HP:0011034,HP:0031408,HP:0002659,HP:0002239,HP:0100845,HP:0031020,HP:0001974,HP:0008066,HP:0005547,HP:0002027,HP:0006775,HP:0012138,HP:0003155,HP:0032155,HP:0002039	1195,2988,1428,2083,2213,4992,2014,5527,525,1338,1462,1902,525,5827,6038,1855,4520,1760,1522,2531,5632,1796,2452,1630,2555,1831,5512,5355	3846,4164,133,36,3916,1545,2375,1156,2917,2459,1422,137,2359,2719,1780,137,1639,2787,4139,1639,370,1827,3316,3946,855,5444,3479,4898,137,1876,3247,5123,2236,284,3023,5504,1122,158,838,565,1607,137,450,4251,4950,217,259,2403,88,5373,2787,1525,259,307,2017,2401,2552,677,3693,638,377,4156,2640,3873	27	58
14128	SRSF3	6428	Srsf3	MGI:98285	MP:0000601,MP:0009904,MP:0030119,MP:0030869,MP:0000603,MP:0005344,MP:0005017,MP:0012089,MP:0030386,MP:0030285,MP:0006208,MP:0002891,MP:0000457,MP:0030313,MP:0001265,MP:0009378,MP:0003138,MP:0004701,MP:0000074,MP:0002968,MP:0004444,MP:0009891,MP:0005343,MP:0009781,MP:0030112,MP:0000186,MP:0031459,MP:0005179,MP:0001634,MP:0008989,MP:0012754,MP:0008797,MP:0005419,MP:0030874,MP:0030374,MP:0000704,MP:0002941,MP:0006306,MP:0003120,MP:0000430,MP:0000914,MP:0000527,MP:0030261,MP:0003056,MP:0000783,MP:0000433,MP:0010026,MP:0004461,MP:0030301,MP:0011094,MP:0003943,MP:0004376,MP:0000607,MP:0012139,MP:0005123,MP:0003887,MP:0011090,MP:0004385,MP:0009913,MP:0002644,MP:0009356,MP:0000460,MP:0001780,MP:0000598,MP:0005291,MP:0011091,MP:0008208,MP:0004455,MP:0031454,MP:0011086,MP:0010398,MP:0008991,MP:0000163,MP:0005659,MP:0004871,MP:0014172,MP:0000930,MP:0004424,MP:0000431,MP:0003743,MP:0004420,MP:0012760,MP:0012129,MP:0008023,MP:0009914,MP:0008209,MP:0012090,MP:0004473,MP:0009883,MP:0008535,MP:0000189		3423,2196,121,1280,2805,3397,2213,5481,1141,3294,4780,3254,5463,944,3130,3540,2940,2742,2989,3204,135,2646,636,948,5291,414,3294,181,1301,6541,3732,2636,2053,1280,65,6829,940,159,1389,3619,2863,979,6793,67,597,4340,1273,6794,6580,380,241,4916,2365,241,5414,71,5114,5291,635,1450,893,65,42,1856,1586,376,7091,6216,3732,203,2466,5811,1316,1835,1141,2606,2931,3286,2178,1280,58,461,380,2288,454,4587,329,606,827,3442,3386		82	
